CG11023	NM_175941	chr2L	+	7528	9484	7679	9276	3	7528,8192,8667,	8116,8589,9484,
l(2)gl	NM_001258875	chr2L	-	9838	21376	11214	17136	11	9838,11409,11778,12285,13519,13682,14932,17052,19879,20830,21065,	11344,11518,12221,12928,13625,14874,15711,17212,20015,20973,21376,
Ir21a	NM_001103573	chr2L	-	21822	25155	21918	25151	5	21822,22742,22993,23928,24746,	22687,22935,23873,24210,25155,
CR43609	NR_047865	chr2L	+	21951	24237	24237	24237	2	21951,22997,	22941,24237,
Cda5	NM_001103574	chr2L	-	25401	59268	26520	58150	15	25401,26765,27052,28014,28732,28981,33844,34557,34719,35745,38534,39300,58080,58248,59189,	26688,26964,27490,28240,28926,29068,34288,34604,35212,38298,38731,39857,58182,58350,59268,
CR46254	NR_133057	chr2L	+	54816	55767	55767	55767	1	54816,	55767,
CR45339	NR_123995	chr2L	+	65998	66242	66242	66242	1	65998,	66242,
CR45340	NR_123996	chr2L	+	66317	66524	66524	66524	1	66317,	66524,
dbr	NM_001258883	chr2L	+	66481	71390	67624	70895	7	66481,66675,67388,67568,67891,68084,70606,	66612,67003,67507,67762,68023,70549,71390,
CR44987	NR_123997	chr2L	-	71038	73836	73836	73836	2	71038,73754,	73642,73836,
galectin	NM_001258884	chr2L	+	71756	76211	72012	76098	4	71756,71949,74902,75077,	71804,72081,75018,76211,
CG11374	NM_134644	chr2L	+	76347	77783	76445	77709	2	76347,77641,	77583,77783,
net	NM_080081	chr2L	-	82420	87387	83267	87092	2	82420,87019,	84277,87387,
Zir	NM_134645	chr2L	+	94738	102086	94851	101918	12	94738,94988,95131,95353,97883,98526,99784,100571,100761,101015,101248,101875,	94892,95070,95301,97833,98470,99723,100516,100703,100942,101194,101619,102086,
CG11377	NM_001272861	chr2L	+	102379	104142	102458	103936	3	102379,103005,103877,	102906,103434,104142,
Nhe1	NM_134647	chr2L	-	103961	106732	104472	106642	5	103961,105004,105390,105511,105968,	104947,105336,105455,105915,106732,
Sam-S	NM_205880	chr2L	+	106902	114432	108685	113542	8	106902,107764,108587,110405,110754,111906,112689,113433,	107000,107838,108809,110483,110877,112019,113369,114432,
ND-15	NM_001258886	chr2L	+	114725	156030	155571	155950	3	114725,155566,155857,	114991,155784,156030,
CG13694	NM_001272868	chr2L	-	115364	116182	115712	116117	1	115364,	116182,
